data,hora,n_placar_visitante,n_placar_casa,c_nome_estadio,c_time_casa,c_time_visitante,n_rodada,d_ano_campeonato,c_nome_campeonato
2014-09-21,16:00,1,1,Maracanã,Flamengo,Fluminense,23,2014,Brasileirão 2014
2014-09-21,16:00,2,3,Neo Química Arena,Corinthians,Sao Paulo,23,2014,Brasileirão 2014
2014-09-21,16:01,0,1,Adelmar da Costa Carvalho,Sport,Coritiba,23,2014,Brasileirão 2014
2014-09-21,18:29,0,6,Estádio do Governo do Estado de Goiás (Serra Dourada),Goias,Palmeiras,23,2014,Brasileirão 2014
2014-09-21,18:30,0,1,Arena do Grêmio,Gremio,Chapecoense,23,2014,Brasileirão 2014
2014-09-21,18:31,1,3,Estádio Urbano Caldeira,Santos,Figueirense,23,2014,Brasileirão 2014
2014-09-24,19:30,0,3,Estádio José Pinheiro Borda,Internacional,Criciuma,24,2014,Brasileirão 2014
2014-09-24,19:32,2,1,Couto Pereira,Coritiba,Cruzeiro,24,2014,Brasileirão 2014
2014-09-24,21:00,0,3,Arena Condá,Chapecoense,Athletico-PR,24,2014,Brasileirão 2014
2014-09-24,21:01,0,1,Itaipava Arena Fonte Nova,Bahia,Sport,24,2014,Brasileirão 2014
2014-09-24,22:00,0,1,Orlando Scarpelli,Figueirense,Corinthians,24,2014,Brasileirão 2014
2014-09-24,22:00,0,0,Maracanã,Fluminense,Gremio,24,2014,Brasileirão 2014
2014-09-24,22:01,2,2,Morumbi,Sao Paulo,Flamengo,24,2014,Brasileirão 2014
2014-09-25,19:29,0,1,Maracanã,Botafogo-RJ,Goias,24,2014,Brasileirão 2014
2014-09-25,19:33,0,2,Estádio Municipal Paulo Machado de Carvalho,Palmeiras,Vitoria,24,2014,Brasileirão 2014
2014-09-25,20:29,2,3,Estádio Raimundo Sampaio,Atletico-MG,Santos,24,2014,Brasileirão 2014
2014-09-27,18:29,0,0,Arena de Pernambuco,Sport,Cruzeiro,25,2014,Brasileirão 2014
2014-09-27,18:30,1,1,Arena Condá,Chapecoense,Criciuma,25,2014,Brasileirão 2014
2014-09-27,21:01,3,1,Morumbi,Sao Paulo,Fluminense,25,2014,Brasileirão 2014
2014-09-28,15:58,2,0,Maracanã,Botafogo-RJ,Gremio,25,2014,Brasileirão 2014
2014-09-28,16:00,1,2,Itaipava Arena Fonte Nova,Bahia,Flamengo,25,2014,Brasileirão 2014
2014-09-28,16:00,0,1,Estádio Joaquim Américo Guimarães,Athletico-PR,Corinthians,25,2014,Brasileirão 2014
2014-09-28,16:01,0,2,Estádio Raimundo Sampaio,Atletico-MG,Vitoria,25,2014,Brasileirão 2014
2014-09-28,18:30,0,2,Estádio Municipal Paulo Machado de Carvalho,Santos,Goias,25,2014,Brasileirão 2014
2014-09-28,18:31,1,3,Orlando Scarpelli,Figueirense,Palmeiras,25,2014,Brasileirão 2014
2014-09-28,18:32,2,4,Estádio José Pinheiro Borda,Internacional,Coritiba,25,2014,Brasileirão 2014
2014-10-02,19:30,2,4,Estádio Municipal Paulo Machado de Carvalho,Palmeiras,Chapecoense,26,2014,Brasileirão 2014
2014-10-04,16:20,1,0,Maracanã,Flamengo,Santos,26,2014,Brasileirão 2014
