c_Pnome_jogador,c_Unome_jogador,n_camisa,d_data_nascimento,c_posicao,c_nome_time
TIQUINHO,SOARES,9,,ATACANTE,Botafogo-RJ
PATRIC,,14,,ZAGUEIRO,Vitoria
MATEO,PONTE,4,,ZAGUEIRO,Botafogo-RJ
MATEUS,CARVALHO,85,,MEIO-CAMPO,Vasco
RUBENS,,44,,MEIO-CAMPO,Atletico-MG
MATÍAS,ZARACHO,15,,ATACANTE,Atletico-MG
LUIZ,HENRIQUE,7,,MEIO-CAMPO,Botafogo-RJ
MATHEUS,MENDES,31,,GOLEIRO,Atletico-MG
IGOR,RABELLO,16,,ZAGUEIRO,Atletico-MG
EVERTTON,ARAÚJO,52,,MEIO-CAMPO,Flamengo
LUCAS,MINEIRO,30,,MEIO-CAMPO,Cuiaba
FABRÍCIO,BRUNO,15,,ZAGUEIRO,Flamengo
JOÃO,LUCAS,2,,ZAGUEIRO,Juventude
EWERTHON,SILVA,14,,ZAGUEIRO,Juventude
PEPÊ,,23,,MEIO-CAMPO,Gremio
PEDRO,GEROMEL,3,,ZAGUEIRO,Gremio
LUIS,MANDACA,44,,MEIO-CAMPO,Juventude
JADSON,,16,,MEIO-CAMPO,Juventude
DIEGO,COSTA,19,,ATACANTE,Gremio
GILBERTO,JÚNIOR,2,,ZAGUEIRO,Bahia
LEPU,,97,,ZAGUEIRO,Vitoria
YANNICK,BOLASIE,11,,ATACANTE,Criciuma
CLAUDINHO,,27,,ZAGUEIRO,Criciuma
JOSÉ,HURTADO,34,,ZAGUEIRO,Bragantino
SABINO,,35,,ZAGUEIRO,Sao Paulo
ALISSON,CASTRO,25,,MEIO-CAMPO,Sao Paulo
EDUARDO,SANTOS,3,,ZAGUEIRO,Bragantino
SHAYLON,,10,,MEIO-CAMPO,Atletico-GO
ADRIANO,MARTINS,3,,ZAGUEIRO,Atletico-GO
LEONARDO,GODOY,29,,ZAGUEIRO,Athletico-PR
LUCAS,BORGES,16,,MEIO-CAMPO,Cruzeiro
MEMPHIS,DEPAY,94,,ATACANTE,Corinthians
RAMIRO,,17,,MEIO-CAMPO,Cruzeiro
NIKÃO,,11,,MEIO-CAMPO,Athletico-PR
GUSTAVO,SCARPA,6,,MEIO-CAMPO,Atletico-MG
PABLO,TEIXEIRA,92,,ATACANTE,Athletico-PR
ERICK,CARVALHO,26,,MEIO-CAMPO,Athletico-PR
JULIMAR,,20,,MEIO-CAMPO,Athletico-PR
LUCAS,MOURA,7,,MEIO-CAMPO,Sao Paulo
FELIPINHO,,23,,MEIO-CAMPO,Athletico-PR
LUCAS,BELEZI,45,,ZAGUEIRO,Athletico-PR
ARTHUR,CRUZ,45,,ATACANTE,Criciuma
MIGUEL,TRAUCO,14,,ZAGUEIRO,Criciuma
KAIO,JORGE,9,,ATACANTE,Cruzeiro
WILKER,ÁNGEL,4,,ZAGUEIRO,Criciuma
MATHEUS,ROSSETTO,16,,MEIO-CAMPO,Fortaleza
LINCOLN,SANTOS,10,,MEIO-CAMPO,Bragantino
RAUL,,23,,MEIO-CAMPO,Bragantino
MATÍAS,LACAVA,7,,MEIO-CAMPO,Atletico-GO
KANU,,4,,ZAGUEIRO,Bahia
GABRIEL,TALIARI,19,,ATACANTE,Juventude
FAGNER,,23,,ZAGUEIRO,Corinthians
RAÚL,CÁCERES,27,,ZAGUEIRO,Vitoria
LUAN,SANTOS,8,,MEIO-CAMPO,Vitoria
EVERALDO,,37,,ATACANTE,Vitoria
DENILSON,,27,,MEIO-CAMPO,Cuiaba
GABRIEL,,44,,ZAGUEIRO,Cuiaba
DERIK,LACERDA,22,,MEIO-CAMPO,Cuiaba
MATHÍAS,VILLASANTI,20,,MEIO-CAMPO,Gremio
