data,hora,n_placar_visitante,n_placar_casa,c_nome_estadio,c_time_casa,c_time_visitante,n_rodada,d_ano_campeonato
2023-06-24,21:00,0,1,Estádio Raimundo Sampaio,Cruzeiro,Sao Paulo,12,2023
2023-06-25,16:00,1,0,Allianz Parque,Palmeiras,Botafogo-RJ,12,2023
2023-06-25,16:01,1,5,Arena do Grêmio,Gremio,Coritiba,12,2023
2023-06-25,18:29,0,2,Nabizão,Bragantino,Goias,12,2023
2023-06-25,18:30,2,1,Estádio Raimundo Sampaio,America-MG,Internacional,12,2023
2023-06-25,18:30,3,2,Estádio Urbano Caldeira,Santos,Flamengo,12,2023
2023-06-26,21:00,0,1,Luso-Brasileiro,Vasco,Cuiaba,12,2023
2023-07-01,16:01,0,1,Morumbi,Sao Paulo,Fluminense,13,2023
2023-07-01,18:30,0,2,Maracanã,Flamengo,Fortaleza,13,2023
2023-07-01,18:30,2,1,Itaipava Arena Fonte Nova,Bahia,Gremio,13,2023
2023-07-01,21:00,0,0,Estádio Beira-Rio,Internacional,Cruzeiro,13,2023
2023-07-02,11:00,1,0,Neo Química Arena,Corinthians,Bragantino,13,2023
2023-07-02,16:00,0,2,Estádio Nilton Santos,Botafogo-RJ,Vasco,13,2023
2023-07-02,16:00,2,2,Mineirão,Atletico-MG,America-MG,13,2023
2023-07-02,16:00,2,2,Ligga Arena,Athletico-PR,Palmeiras,13,2023
2023-07-02,18:32,0,3,Arena Pantanal,Cuiaba,Santos,13,2023
2023-07-03,19:59,2,1,Estádio Hailé Pinheiro - Serrinha,Goias,Coritiba,13,2023
2023-07-08,15:59,1,1,Arena Pantanal,Cuiaba,Bahia,14,2023
2023-07-08,16:00,1,0,Estádio São Januário,Vasco,Cruzeiro,14,2023
2023-07-08,18:30,1,0,Mineirão,Atletico-MG,Corinthians,14,2023
2023-07-08,18:30,1,3,Couto Pereira,Coritiba,America-MG,14,2023
2023-07-08,21:00,1,1,Allianz Parque,Palmeiras,Flamengo,14,2023
2023-07-09,11:00,3,4,Estádio Urbano Caldeira,Santos,Goias,14,2023
2023-07-09,15:59,0,0,Nabizão,Bragantino,Sao Paulo,14,2023
2023-07-09,16:00,0,2,Maracanã,Fluminense,Internacional,14,2023
2023-07-09,18:30,0,1,Arena Castelão,Fortaleza,Athletico-PR,14,2023
2023-07-09,18:31,2,0,Arena do Grêmio,Gremio,Botafogo-RJ,14,2023
2023-07-15,21:00,0,2,Estádio Nilton Santos,Botafogo-RJ,Bragantino,15,2023
2023-07-16,10:59,0,0,Estádio Raimundo Sampaio,Cruzeiro,Coritiba,15,2023
2023-07-16,16:00,1,0,Arena Castelão,Fortaleza,Cuiaba,15,2023
2023-07-16,16:00,0,0,Maracanã,Fluminense,Flamengo,15,2023
2023-07-16,16:00,1,4,Morumbi,Sao Paulo,Santos,15,2023
2023-07-16,18:30,0,2,Ligga Arena,Athletico-PR,Bahia,15,2023
2023-07-16,18:30,0,0,Estádio Beira-Rio,Internacional,Palmeiras,15,2023
2023-07-17,19:59,0,0,Estádio Hailé Pinheiro - Serrinha,Goias,Atletico-MG,15,2023
2023-07-22,16:00,1,3,Allianz Parque,Palmeiras,Fortaleza,16,2023
2023-07-22,16:00,1,1,Maracanã,Flamengo,America-MG,16,2023
2023-07-22,18:30,1,2,Arena Pantanal,Cuiaba,Sao Paulo,16,2023
